,average_x,average_y
0,452.64475000000004,296.29881249999994
1,448.90637499999997,296.98756249999997
2,444.82599999999996,298.56106250000005
3,439.5383125,299.56131250000004
4,434.98274999999995,301.4851875
5,430.1483125,303.42949999999996
6,426.771625,304.2399375
7,422.2445625,305.10981250000003
8,418.36368749999997,305.868375
9,414.46362500000004,307.21918750000003
10,410.23975,308.3163125
11,405.9391875,308.73093750000004
12,401.4867499999999,310.2141875
13,396.9126875,311.28043750000006
14,393.7025625,311.731125
15,389.1998125,313.0255625
16,384.6798749999999,315.0838125
17,379.8569375,317.2299375
18,376.82656249999997,317.68775000000005
19,372.7845,319.04387500000007
20,372.2756428571428,318.2523571428572
21,365.84393750000004,321.0003750000001
22,362.7095625,321.67768750000005
23,358.32112500000005,323.61706250000003
24,355.40956249999994,324.57743750000003
25,354.21737500000006,324.04324999999994
26,349.702,324.839
27,347.0501875,324.8220625
28,345.3701875,326.8411875
29,341.3396875,325.852625
30,336.14337500000005,326.441375
31,348.0365,320.664375
32,352.2955,320.77383333333336
33,318.87525,329.9614375
34,346.9915,336.4584375
35,306.505875,332.5785
36,298.6158125,332.846125
37,291.523875,334.14643750000005
38,285.7326875,334.234875
39,278.8480625,334.453875
40,273.18331250000006,334.68575
41,268.3315,334.3425625
42,263.05906250000004,335.434125
43,259.2886875,335.7998125
44,251.689125,337.96549999999996
45,247.51537499999998,338.8971875
46,242.6635,340.35581250000007
47,238.7465,342.07681249999996
48,234.8691875,342.8730625
49,231.6863125,344.50512499999996
50,227.47081250000002,346.4053125
51,223.4345625,347.6381875
52,221.2136875,348.43649999999997
53,217.5153125,349.2366875
54,214.247125,350.35918749999996
55,211.80925000000002,350.93875
56,208.315875,350.659625
57,205.31256249999998,351.7903124999999
58,201.966,351.70831250000003
59,199.04731250000003,352.638625
60,198.4794285714286,352.7407857142857
61,193.8561875,352.81774999999993
62,191.6285,353.00962499999997
63,188.81106250000002,352.404125
64,187.9244375,351.7780625
65,186.571375,350.7499375
66,185.01587500000002,349.40218749999997
67,184.173875,348.07256249999995
68,183.37025,346.6244375
69,181.95,345.5768125
70,182.18568749999997,343.4606875
71,181.97462500000003,342.235875
72,181.4694375,341.4246875
73,181.21018750000002,339.7438125
74,181.60881249999997,339.02725
75,180.98368749999997,337.067625
76,180.0765625,334.89849999999996
77,179.69818749999996,333.391625
78,177.40899999999996,329.4217142857143
79,176.85464285714286,327.75964285714286
80,176.37807142857142,326.98828571428567
81,175.9292857142857,325.64335714285716
82,175.05249999999998,324.80642857142857
83,174.68114285714287,324.3171428571428
84,174.29014285714285,324.8289285714286
85,173.62114285714284,324.6460000000001
86,173.22299999999998,324.3710714285715
87,173.15042857142856,324.82957142857146
88,172.469,325.29028571428574
89,172.18550000000002,325.49107142857144
90,172.57935714285716,325.5157142857143
91,171.67335714285716,326.4950714285714
92,171.89450000000002,327.1808571428572
93,171.59385714285716,326.9003571428571
94,171.819,327.6486428571429
95,171.98964285714285,327.93378571428576
96,171.60007142857143,328.15321428571434
97,171.25635714285713,327.30635714285717
98,171.31114285714287,326.9896428571428
99,171.13678571428574,326.88692857142854
100,171.13071428571428,327.0132857142857
101,170.99914285714286,326.80350000000004
102,171.244,326.54400000000004
103,171.2127142857143,325.98114285714286
104,171.54642857142858,326.2068571428572
105,171.73771428571428,325.8827857142857
106,171.7055714285714,325.6374285714286
107,171.87885714285713,325.74585714285706
108,171.635,325.5467857142857
109,171.87635714285716,325.89914285714286
110,172.30121428571428,324.88949999999994
111,172.95221428571426,324.4547857142857
112,175.09150000000002,324.7098571428572
113,177.14992857142857,324.6247142857142
114,179.771,324.14585714285715
115,182.7515625,327.361875
116,184.62825000000004,327.50993750000004
117,186.196625,325.41875
118,187.9231875,324.07912500000003
119,189.049875,322.601625
120,190.453,319.8760625
121,191.80143750000002,319.1245625
122,193.5174375,317.7184375
123,194.85181249999997,316.2518125
124,196.94631250000003,314.44293749999997
125,198.87824999999998,313.1988125
126,200.3480625,312.992375
127,202.7124375,311.62975
128,204.41425,309.6318749999999
129,206.34562499999998,309.04999999999995
130,208.63481249999998,308.4715625
131,209.49343749999997,307.2620625
132,211.1425625,306.13906249999997
133,212.7948125,304.07193750000005
134,213.762625,302.8410625000001
135,216.6915,302.1045
136,218.6476875,301.84962499999995
137,220.3069375,300.48006250000003
138,221.43406249999998,299.686625
139,223.50762500000002,298.55199999999996
140,224.1220625,298.29787500000003
141,225.87056249999998,297.7450625000001
142,228.61075000000002,297.27524999999997
143,229.368,296.82449999999994
144,231.9415,296.68456249999997
145,234.31,295.93325
146,237.10725,295.8486875
147,238.45718749999997,295.5714375
148,241.020625,294.711
149,242.83875,294.0720625
150,244.2840625,293.772
151,245.91912499999998,293.288375
152,248.05143750000002,292.10012499999993
153,248.5908125,291.7734375
154,250.20749999999998,290.9619375
155,250.99268750000002,289.4029375
156,253.1429375,289.132375
157,254.8049375,287.4434375
158,254.43637500000003,286.6659375
159,256.261875,286.1493125
160,257.7971875,285.174625
161,259.11725,283.6411875
162,260.0115,282.8724375
163,262.15143750000004,281.849875
164,263.3338125,281.4421875
165,264.134,280.1705
166,266.266375,280.20849999999996
167,267.454875,280.0149375
168,269.87812499999995,279.159625
169,271.51475,278.26812499999994
170,273.7335,277.90081250000003
171,276.00775,277.12906250000003
172,277.6099375,277.27750000000003
173,279.200625,276.6543125
174,281.6715625,276.4356875
175,283.89637500000003,276.59743749999996
176,284.6894375,276.02306250000004
177,286.1724375,275.64993749999996
178,287.71262500000006,275.5285625
179,289.06649999999996,275.39093749999995
